original_name,matched_name,latitude,longitude,type,score,status
Lihons,Lihons,49.824348,2.76573,municipality,0.5910963636363635,found
Gentelles,Gentelles,49.843523,2.454602,municipality,0.6855052066115702,found
Rouvroy-en-Santerre,Rouvroy-en-Santerre,49.769342,2.710255,municipality,0.8148090909090908,found
Roye,Roye,49.698122,2.781098,municipality,0.4889027272727272,found
Rouvroy,Rouvroy,50.398005,2.904972,municipality,0.6422878787878787,found
Saint-Bandry,Saint-Bandry,49.371079,3.164861,municipality,0.7342602597402597,found
Cœuvres,Rue de Coeuvres 02290 Montigny-Lengrain,49.394364,3.114189,street,0.49387545454545456,review
Laversine,Laversine,49.351973,3.170574,municipality,0.679203388429752,found
Soissons,Soissons,49.377401,3.327152,municipality,0.6780227272727272,found
Villers-Cotterêts,Villers-Cotterêts,49.250899,3.088746,municipality,0.8025911483253588,found
Sainte- Menehould,Sainte-Menehould,49.099215,4.936022,municipality,0.790470303030303,found
Verdun,verdun 91520 Égly,48.582106,2.225526,street,0.6223881818181818,review
Triaucourt,Route de Triaucourt 55250 Vaubecourt,48.935865,5.111092,street,0.48619454545454543,review
Dugny,Dugny,48.950148,2.421869,municipality,0.557075974025974,found
caserne Bévaux,Impasse de La Caserne 23110 Évaux-les-Bains,46.174607,2.486813,street,0.3379012121212121,review
Vaux,83 Les Vaux 35420 Louvigné-du-Désert,48.46946,-1.149205,housenumber,0.5805127272727273,review
Hardaumont,Haraumont 28190 Saint-Luperce,48.449121,1.289868,street,0.5232177622377622,review
vallée Levoncourt,Ruelle 55260 Levoncourt,48.824725,5.350488,street,0.5538809917355372,review
Douaumont,Rue Douaumont 69100 Villeurbanne,45.78188,4.901415,street,0.6504864935064936,review
bois de la Caillette,Rue de la Caillette 17580 Le Bois-Plage-en-Ré,46.188249,-1.395157,street,0.5896545454545454,review
Sainte-Catherine,88 Rue Sainte-Catherine 33000 Bordeaux,44.83872,-0.573922,housenumber,0.8210725619834711,review
Belleray,Belleray,49.131971,5.396004,municipality,0.6595172727272726,found
Nixéville,Chemin de Nixeville 55100 Landrecourt-Lempire,49.098643,5.31278,street,0.43687999999999994,review
Nançois-le-Petit,le Petit Sange 18330 Nançay,47.331768,2.158397,street,0.3987440067340067,review
Spada,Spadda 20122 Quenza,41.765073,9.134278,locality,0.47650454545454546,found
Ambly-sur-Meuse,Ambly-sur-Meuse,49.019567,5.443324,municipality,0.7686567379679143,found
Eparges,Epargé 35690 Acigné,48.151262,-1.517316,street,0.5536286868686869,review
Troyon,Troyon 29710 Peumerit,47.942001,-4.273385,street,0.6041254545454544,review
La Selouse,La Selousière 53200 Gennes-Longuefuye,47.828806,-0.559365,street,0.4854790909090909,review
Vaux-Chapitre,Chemin du Faux Chapitre 28150 Les Villages Vovéens,48.273462,1.631449,street,0.42044993006993003,review
Fausses-Côtes,Les Fausses Vannes 21150 Hauteroche,47.487977,4.578408,locality,0.3738066798418972,found
tranchée Deleau,99 Rue de la Tranchée 86000 Poitiers,46.574506,0.330641,housenumber,0.5613815151515151,review
ravins du Bazil,100 Rue Marius Bazile 27130 Verneuil d'Avre et d'Iton,48.742697,0.907853,housenumber,0.3734780519480519,review
Souville,A Souville 32300 Saint-Arroman,43.448052,0.517167,locality,0.6263078787878786,found
Bezonvaux,Bezonvaux,49.229,5.475,municipality,0.606060606060606,found
Marceau,103 Rue Marceau 91120 Palaiseau,48.704646,2.226779,housenumber,0.7145151948051948,review
Plume,La Plume 15400 Riom-ès-Montagnes,45.297484,2.619241,street,0.4912427272727273,review
Damloup,Damloup,49.20199,5.491666,municipality,0.562550909090909,found
ravin du Bazil,106 Rue Marius Bazile 27130 Verneuil d'Avre et d'Iton,48.742825,0.90784,housenumber,0.34101051948051947,review
Fontaines,Fontaines,46.851355,4.782208,municipality,0.6352569696969697,found
Chambouillat,En Chambouille 39360 Chassal-Molinges,46.352095,5.758885,street,0.542449595959596,review
Grands-Houyers,,,,,,not_found
Woëvre,la Woevre 55140 Vaucouleurs,48.582241,5.676766,street,0.5325514049586776,review
bois de la Plume,Rue du Bois la Plume 10230 Mailly-le-Camp,48.666729,4.194254,street,0.6341344664031621,review
bois de la Haute-Charrière,Rue de la Charrière des Bois 95780 La Roche-Guyon,49.082776,1.63227,street,0.5832872727272727,review
Lahile,Lahile 47180 Couthures-sur-Garonne,44.520662,0.069394,locality,0.5300750505050504,found
Gondrecourt,Gondrecourt-Aix,49.245832,5.767717,municipality,0.5237359595959595,found
Lunéville,Lunéville,48.593492,6.497808,municipality,0.6455842424242423,found
Marats-la-Grande,Rue du Marais 59680 Ferrière-la-Grande,50.251997,3.989355,street,0.4072689898989899,review
Condé-en-Barrois,Chemin de Louppy à Condé En Barro 55000 Les Hauts-de-Chée,48.866124,5.160414,locality,0.3719476167076167,found
Tréveray,Tréveray 22150 Plœuc-L'Hermitage,48.328966,-2.746144,street,0.6233487603305785,review
Saint-Amand,119 Rue Saint Amand 76490 Rives-en-Seine,49.514326,0.772245,housenumber,0.7600770707070706,review
Void,120 Voie 2430 83000 Toulon,43.154843,5.906943,housenumber,0.48299496503496503,review
Serres,Serres 84200 Carpentras,44.084204,5.070579,street,0.5501941414141414,review
Maixe,Maixe,48.643743,6.441884,municipality,0.4768754545454545,found
Deuxville,Deuxville,48.617333,6.454645,municipality,0.6281969696969696,found
Crévic,Crévic,48.639187,6.405629,municipality,0.5312077777777778,found
Pont-Saint-Vincent,Pont-Saint-Vincent,48.606575,6.096068,municipality,0.7649743722943723,found
La Ferté-Gaucher,La Ferté Gaucher 77320 La Ferté-Gaucher,48.781325,3.305744,locality,0.7543560765550238,found
Sézanne,Sézanne,48.718482,3.721712,municipality,0.5788763636363636,found
Blesmes,Blesmes,49.038311,3.44725,municipality,0.5684854545454544,found
Courboin,Courboin 37340 Avrillé-les-Ponceaux,47.401663,0.359493,street,0.6065560330578512,review
Montbazin,Montbazin,43.515435,3.697092,municipality,0.6373151515151514,found
Épieds,Epieds 77120 Beautheil-Saints,48.793507,3.054073,street,0.5502159595959596,review
Villers-sur-Fère,Villers-sur-Fère,49.178471,3.531405,municipality,0.7411360765550239,found
Villemoyenne,Villemoyenne 02130 Fère-en-Tardenois,49.178471,3.501001,street,0.7041875757575756,review
Dravegny,Dravegny,49.232244,3.639633,municipality,0.595815123966942,found
Vesle,135 Rue de Vesle 51100 Reims,49.252124,4.02529,housenumber,0.557860303030303,review
Baslieux-lès-Fismes,Baslieux-lès-Fismes,49.325127,3.711741,municipality,0.7653698347107438,found
Villette,Villette 60700 Pont-Sainte-Maxence,49.331293,2.612102,street,0.630594214876033,review
Arcis-le-Ponsart,Arcis-le-Ponsart,49.235162,3.694881,municipality,0.7384815311004784,found
Chamigny,Chamigny,48.977834,3.150625,municipality,0.6065560330578512,found
Bussières,140 La Bussière 18250 Neuvy-Deux-Clochers,47.270856,2.690259,housenumber,0.7005657575757575,review
Bassevelles,Bassevelle,48.92371,3.273313,municipality,0.6065174025974026,found
Tanqueux,Rue de Tanqueux 77260 Chamigny,48.967906,3.145432,street,0.4750311229946524,review
Vierzy,Vierzy,49.292103,3.27317,municipality,0.527069595959596,found
Couvrelles,Couvrelles,49.335569,3.486741,municipality,0.6479815384615384,found
Augy,Augy,47.771716,3.61499,municipality,0.41585857142857136,found
Vasseny,Vasseny,49.353446,3.486606,municipality,0.5647009090909091,found
Chemin des Dames,147 Chemin des Dames 34590 Marsillargues,43.661635,4.179687,housenumber,0.9568054545454545,review
la ferme Certeaux,148 Route du Certeau 38290 Frontonas,45.650018,5.182726,housenumber,0.40312194805194806,review
Ailette,Rue de l'Ailette 60200 Compiègne,49.402262,2.825095,street,0.40494353535353533,review
quartier Berthier,Square berthier 13011 Marseille,43.294111,5.433968,street,0.48287533596837945,review
Dragonne,Le Dragon 26100 Romans-sur-Isère,45.044748,5.044776,locality,0.46504860139860144,found
Rochefort,Rochefort 61800 Tinchebray-Bocage,48.755313,-0.717625,street,0.6469615151515151,review
Certeaux,Le Certeau 02000 Laniscourt,49.55084,3.539014,street,0.5121004895104895,review
Chevregny,Chevregny,49.47161,3.591836,municipality,0.6250115151515151,found
La Royère,La Royere 84240 La Tour-d'Aigues,43.720688,5.55375,street,0.6454787878787878,review
Maast-et-Violaine,Maast-et-Violaine,49.286064,3.449963,municipality,0.7446090909090909,found
Révillon,Les Revillonnes 89240 Diges,47.742507,3.396448,locality,0.4576365775401069,found
Hurtebise,Hurtebise 59620 Aulnoye-Aymeries,50.21774,3.818347,street,0.6454378787878787,review
plateau de Paissy,Route du plateau d'assy 74190 Passy,45.928387,6.684385,street,0.43318336898395715,review
plateau de Californie,Rue Hameau de Californie 86400 Civray,46.148473,0.302292,street,0.5141136656891495,review
grottes de Mai,Rue des Grottes 53340 Saulges,47.983425,-0.402946,street,0.5358254545454545,review
Serval-Barbonval,Rue de Barbonval 02160 Blanzy-lès-Fismes,49.33829,3.671656,street,0.36547849529780563,review
Cerny,le cerny 85170 Le Poiré-sur-Vie,46.799152,-1.478166,street,0.503630909090909,review
Bourg,164 Le Bourg 47430 Le Mas-d'Agenais,44.409049,0.213616,housenumber,0.709723388429752,review
Commun,Le Commun 35150 Piré-Chancé,48.02098,-1.456944,street,0.5363768595041322,review
Paissy,Paissy,49.424786,3.70348,municipality,0.5200877777777778,found
Œuilly,Œuilly,49.07089,3.796335,municipality,0.5695227272727272,found
Beuvardes,Beuvardes,49.139942,3.488547,municipality,0.631121515151515,found
Fresnes,Fresnes,48.757544,2.324537,municipality,0.5872127272727272,found
Fère – Saponay,Rue de Fere 02130 Saponay,49.213879,3.482852,street,0.5533677922077921,review
Montdidier,Montdidier 35630 Hédé-Bazouges,48.314923,-1.784952,street,0.6711733566433565,review
Remaugies,Remaugies,49.627638,2.665993,municipality,0.6234960606060604,found
