name,latitude,longitude,status
route de Compiègne,49.243045,2.881758,review
Ressons,49.531895,2.744559,corrected
Canny-sur-Matz,49.602124,2.79893,found
le Haut Matz,49.5622,2.751966,found
ferme de Canny,49.607179,2.78624,review
Lassigny,49.595024,2.845555,found
tour Rolland,49.589206,2.837438,review
Lataule,49.541154,2.680288,found
Fresnières,49.622923,2.813712,found
Haussu,49.623248,2.829244,review
Catigny,49.637121,2.955561,found
Cuvilly,49.553092,2.695049,found
Acy,49.350997,3.409817,found
Bonneil,49.00552,3.347565,found
Coincy,49.166851,3.420158,found
Villeneuve-sur-Fère,49.175922,3.475374,found
Mont-Notre-Dame,49.291718,3.576586,found
canal de l'Aisne,49.047921,4.183267,review
Vieil-Arcy,49.389484,3.625973,review
Hautes-Bruyères,49.760791,4.268092,review
Paars,49.327407,3.60099,found
Seringes,49.199164,3.520083,review
Cohan,49.211735,3.641534,corrected
Saint-Gilles,49.2805,3.676812,corrected
Courlandon,49.312406,3.735364,found
Meurival,49.358243,3.761284,found
Baslieux,49.435545,5.755326,found
Unchair,49.290315,3.747578,found
Concevreux,49.375427,3.780278,found
Cuiry-les-Chaudardes,49.386583,3.76998,found
route de Pontavert,49.439438,3.788257,review
Corbeny,49.464115,3.824721,validated
Berrieux,49.487922,3.846598,found
château de Belval,49.114803,3.85484,corrected
Goudelancourt,49.647717,3.899579,review
Sissonne,49.570064,3.892236,found
Saint-Erme,49.534138,3.83538,validated
Fraillicourt,49.664575,4.162483,found
Epernay,49.040236,3.960527,found
Charleroi,50.416451,4.444998,corrected
Pontavert,49.409946,3.821144,found
Châlons,48.959603,4.368062,corrected
Saint-Dizier,48.638926,4.957021,found
Toul,48.672495,5.897372,corrected
Delme,48.887765,6.390983,found
Château-Salins,48.820539,6.501427,found
Dieuze,48.811468,6.720321,found
Sarreguemines,49.110922,7.07705,found
Palatinat,49.196162,8.03175,corrected
Reims,49.250948,4.055595,found
Saint-Ingbert (Palatinat),49.270638,7.120013,corrected
Rhein-Durkheim,48.590304,7.754415,review
boulevard de la Madeleine,48.870062,2.324523,corrected
